Supplier,Manufacturer,Supplier material number (Catalogue),Manufactorer material number (Cataloque),"Material Name
(long designation)",Packaging unit (Pack.),"Quantity
[piece in base unit]","Base unit
(piece)","Sales Sales Jan- Sep 
pack","Sales Jan- Sep
piece",emdn_code,emdn_name,emdn_confidence
Zimmer Slovakia s.r.o.,"Zimmer, Inc",00-5962-040-10,00-5962-040-10,00-5962-040-10 PROL LPS-FLEX ART SURF  EF/5-6 10,box,1,piece,1,1,P09090301,BICOMPARTMENTAL PRIMARY IMPLANT FEMORAL COMPONENTS,medium
Zimmer Slovakia s.r.o.,"Zimmer, Inc",00-5968-016-52,00-5968-016-52,00-5968-016-52 LPS-FLEX TIVANIUM FEMORAL F-R,box,1,piece,1,1,P0909030102,BICOMPARTMENTAL PRIMARY IMPLANT UNCEMENTED FEMORAL COMPONENTS,medium
Zimmer Slovakia s.r.o.,"Zimmer, Inc",00-5980-047-01,00-5980-047-01,00-5980-047-01 NG PS PRE stem tibia plate sz 5,box,1,piece,1,1,P0909030201,BICOMPARTMENTAL PRIMARY IMPLANT TIBIAL PLATES,high
Zimmer Slovakia s.r.o.,Zimmer Inc.,00-8751-008-32,00-8751-008-32,00-8751-009-32 HXPE LINER NEUTRAL HH 32,box,1,piece,1,1,P0908030401,HIP PROSTHESES POLYETHYLENE ACETABULAR INSERTS,high
Zimmer Slovakia s.r.o.,Zimmer Inc.,00-8751-008-32,00-8751-008-32,00-8751-009-32 HXPE LINER NEUTRAL HH 32,box,1,piece,1,1,P0908030401,HIP PROSTHESES POLYETHYLENE ACETABULAR INSERTS,high
Zimmer Slovakia s.r.o.,Zimmer Inc.,00-8751-008-32,00-8751-008-32,00-8751-009-32 HXPE LINER NEUTRAL HH 32,box,1,piece,1,1,P0908030401,HIP PROSTHESES POLYETHYLENE ACETABULAR INSERTS,high
Zimmer Slovakia s.r.o.,Zimmer Inc.,00-8751-010-36,00-8751-010-36,00-8751-010-36 HXPE LINER NEUTRAL II 36,box,1,piece,1,1,P0908030401,HIP PROSTHESES POLYETHYLENE ACETABULAR INSERTS,high
Zimmer Slovakia s.r.o.,Zimmer Inc.,00-8751-010-36,00-8751-010-36,00-8751-011-36 HXPE LINER NEUTRAL JJ 36,box,1,piece,1,1,P0908030401,HIP PROSTHESES POLYETHYLENE ACETABULAR INSERTS,high
Zimmer Slovakia s.r.o.,Zimmer Inc.,00-8751-010-36,00-8751-010-36,00-8751-011-36 HXPE LINER NEUTRAL JJ 36,box,1,piece,1,1,P0908030401,HIP PROSTHESES POLYETHYLENE ACETABULAR INSERTS,high
Zimmer Slovakia s.r.o.,Zimmer Inc.,00-8751-010-36,00-8751-010-36,00-8751-011-36 HXPE LINER NEUTRAL JJ 36,box,1,piece,1,1,P0908030401,HIP PROSTHESES POLYETHYLENE ACETABULAR INSERTS,high
