Supplier_Name,CFN (REF),Material_Description,Manufacturer Name
Enovis Slovakia s. r. o.,114700,DISCOVERY Elbow - Humeral Condyle Kit Standard,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114800,DISCOVERY Elbow - Ulna Bearing Kit Standard,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114801,DISCOVERY Elbow - Ulna Bearing Revision Kit XS,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114802,DISCOVERY Elbow - Ulna Stem with Bearing Bond Coat # 2.5x53 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114803,DISCOVERY Elbow - Ulna Stem with Bearing Bond Coat # 2.5x53 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114806,DISCOVERY Elbow - Ulna Stem with Bearing Bond Coat # 2.5x84 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114807,DISCOVERY Elbow - Ulna Stem with Bearing Bond Coat # 2.5x84 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114812,DISCOVERY Elbow - Ulna Stem with Bearing Bond Coat # 3x75 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114813,DISCOVERY Elbow - Ulna Stem with Bearing Bond Coat # 3x75 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114816,DISCOVERY Elbow - Ulna Stem with Bearing Bond Coat # 3x115 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114817,DISCOVERY Elbow - Ulna Stem with Bearing Bond Coat # 3x115 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114818,DISCOVERY Elbow - Ulna Stem with Bearing Bond Coat # 3x155 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114819,DISCOVERY Elbow - Ulna Stem with Bearing Bond Coat # 3x155 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114822,DISCOVERY Elbow - Ulna Stem with Bearing Bond Coat # 4x75 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114823,DISCOVERY Elbow - Ulna Stem with Bearing Bond Coat # 4x75 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114826,DISCOVERY Elbow - Ulna Stem with Bearing Bond Coat # 4x115 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114827,DISCOVERY Elbow - Ulna Stem with Bearing Bond Coat # 4x115 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114828,DISCOVERY Elbow - Ulna Stem with Bearing Bond Coat # 4x155 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114829,DISCOVERY Elbow - Ulna Stem with Bearing Bond Coat # 4x155 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114832,DISCOVERY Elbow - Ulna Stem with bearing Bond Coat # 5x75 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114833,DISCOVERY Elbow - Ulna Stem with bearing Bond Coat # 5x75 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114836,DISCOVERY Elbow - Ulna Stem with bearing Bond Coat # 5x115 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114837,DISCOVERY Elbow - Ulna Stem with bearing Bond Coat # 5x115 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114838,DISCOVERY Elbow - Ulna Stem with bearing Bond Coat # 5x155 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114839,DISCOVERY Elbow - Ulna Stem with bearing Bond Coat # 5x155 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114852,DISCOVERY Elbow - Ulna Stem with Bearing Non Coated # 3x75 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114853,DISCOVERY Elbow - Ulna Stem with Bearing Non Coated # 3x75 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114856,DISCOVERY Elbow - Ulna Stem with Bearing Non Coated # 3x115 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114857,DISCOVERY Elbow - Ulna Stem with Bearing Non Coated # 3x115 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114862,DISCOVERY Elbow - Ulna Stem with Bearing Non Coated # 4x75 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114863,DISCOVERY Elbow - Ulna Stem with Bearing Non Coated # 4x75 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114866,DISCOVERY Elbow - Ulna Stem with Bearing Non Coated # 4x155 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114867,DISCOVERY Elbow - Ulna Stem with Bearing Non Coated # 4x115 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114872,DISCOVERY Elbow - Ulna Stem with Bearing Non Coated # 5x75 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114873,DISCOVERY Elbow - Ulna Stem with Bearing Non Coated # 5x75 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114876,DISCOVERY Elbow - Ulna Stem with Bearing Non Coated # 5x115 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114877,DISCOVERY Elbow - Ulna Stem with Bearing Non Coated # 5x115 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114902,DISCOVERY Elbow - Humeral Stem Bond Coat # 3.5x84 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114903,DISCOVERY Elbow - Humeral Stem Bond Coat # 3.5x84 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114904,DISCOVERY Elbow - Humeral Stem Bond Coat # 4x100 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114905,DISCOVERY Elbow - Humeral Stem Bond Coat # 4x100 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114906,DISCOVERY Elbow - Humeral Stem Bond Coat # 5x100 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114907,DISCOVERY Elbow - Humeral Stem Bond Coat # 5x100 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114908,DISCOVERY Elbow - Humeral Stem Bond Coat # 6x100 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114909,DISCOVERY Elbow - Humeral Stem Bond Coat # 6x100 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114912,DISCOVERY Elbow - Humeral Stem Bond Coat # 3.5x812 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114913,DISCOVERY Elbow - Humeral Stem Bond Coat # 3.5x124 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114914,DISCOVERY Elbow - Humeral Stem Bond Coat # 4x150 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114915,DISCOVERY Elbow - Humeral Stem Bond Coat # 4x150 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114916,DISCOVERY Elbow - Humeral Stem Bond Coat # 5x150 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114917,DISCOVERY Elbow - Humeral Stem Bond Coat # 5x150 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114918,DISCOVERY Elbow - Humeral Stem Bond Coat # 6x150 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114919,DISCOVERY Elbow - Humeral Stem Bond Coat # 6x150 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114924,DISCOVERY Elbow - Humeral Stem Bond Coat # 4x200 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114925,DISCOVERY Elbow - Humeral Stem Bond Coat # 4x200 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114926,DISCOVERY Elbow - Humeral Stem Bond Coat # 5x200 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114927,DISCOVERY Elbow - Humeral Stem Bond Coat # 5x200 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114928,DISCOVERY Elbow - Humeral Stem Bond Coat # 6x200 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114929,DISCOVERY Elbow - Humeral Stem Bond Coat # 6x200 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114934,DISCOVERY Elbow - Humeral Stem Non Coated # 4x100 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114935,DISCOVERY Elbow - Humeral Stem Non Coated # 4x100 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114936,DISCOVERY Elbow - Humeral Stem Non Coated # 5x100 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114937,DISCOVERY Elbow - Humeral Stem Non Coated # 5x100 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114938,DISCOVERY Elbow - Humeral Stem Non Coated # 6x100 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114939,DISCOVERY Elbow - Humeral Stem Non Coated # 6x100 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114944,DISCOVERY Elbow - Humeral Stem Non Coated # 4x150 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114945,DISCOVERY Elbow - Humeral Stem Non Coated # 4x150 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114946,DISCOVERY Elbow - Humeral Stem Non Coated # 5x150 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114947,DISCOVERY Elbow - Humeral Stem Non Coated # 5x150 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114948,DISCOVERY Elbow - Humeral Stem Non Coated # 6x150 Left,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114949,DISCOVERY Elbow - Humeral Stem Non Coated # 6x150 Right,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114991,DISCOVERY Elbow - Humeral Condyle Kit XS,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,114993,DISCOVERY Elbow - Humeral Condyle Screw Standard,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,5156831,PalaJet,Guangzhou Clean Medical Products Manufacturing Corp.
Enovis Slovakia s. r. o.,66017569,Palacos-R + G (2x40g),Heraeus Medical GmbH
Enovis Slovakia s. r. o.,66017771,Palacos-R + G (1x40g),Heraeus Medical GmbH
Enovis Slovakia s. r. o.,66017777,Palacos-R (2x40g),Heraeus Medical GmbH
Enovis Slovakia s. r. o.,66017778,Palacos-R  (1x40g),Heraeus Medical GmbH
Enovis Slovakia s. r. o.,66017790,COPAL G+C (1x40g),Heraeus Medical GmbH
Enovis Slovakia s. r. o.,66022828,Palavage,PulseLavageAB
Enovis Slovakia s. r. o.,66038973,COPAL G+V (1x40g),Heraeus Medical GmbH
Enovis Slovakia s. r. o.,66044273,Palacos R+G Pro 55,Heraeus Medical GmbH
Enovis Slovakia s. r. o.,66057893,Palamix UNO,Heraeus Medical GmbH
Enovis Slovakia s. r. o.,66058094,COPAL Knee moulds S,Heraeus Medical GmbH
Enovis Slovakia s. r. o.,66058095,COPAL Knee moulds M,Heraeus Medical GmbH
Enovis Slovakia s. r. o.,66058096,COPAL Knee moulds L,Heraeus Medical GmbH
Enovis Slovakia s. r. o.,00-5842-001-01,Physica ZUK Unicompartmental Knee System - Tibial Component Precoat Left Medial/ Right Lateral Size 1 - Ti6Al4V + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-001-02,Physica ZUK Unicompartmental Knee System - Tibial Component Precoat Right Medial/ Left Lateral Size 1 - Ti6Al4V + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-002-01,Physica ZUK Unicompartmental Knee System - Tibial Component Precoat Left Medial/ Right Lateral Size 2 - Ti6Al4V + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-002-02,Physica ZUK Unicompartmental Knee System - Tibial Component Precoat Right Medial/ Left Lateral Size 2 - Ti6Al4V + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-003-01,Physica ZUK Unicompartmental Knee System - Tibial Component Precoat Left Medial/ Right Lateral Size 3 - Ti6Al4V + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-003-02,Physica ZUK Unicompartmental Knee System - Tibial Component Precoat Right Medial/ Left Lateral Size 3 - Ti6Al4V + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-004-01,Physica ZUK Unicompartmental Knee System - Tibial Component Precoat Left Medial/ Right Lateral Size 4 - Ti6Al4V + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-004-02,Physica ZUK Unicompartmental Knee System - Tibial Component Precoat Right Medial/ Left Lateral Size 4 - Ti6Al4V + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-005-01,Physica ZUK Unicompartmental Knee System - Tibial Component Precoat Left Medial/ Right Lateral Size 5 - Ti6Al4V + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-005-02,Physica ZUK Unicompartmental Knee System - Tibial Component Precoat Right Medial/ Left Lateral Size 5 - Ti6Al4V + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-006-01,Physica ZUK Unicompartmental Knee System - Tibial Component Precoat Left Medial/ Right Lateral Size 6 - Ti6Al4V + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-006-02,Physica ZUK Unicompartmental Knee System - Tibial Component Precoat Right Medial/ Left Lateral Size 6 - Ti6Al4V + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-011-01,Physica ZUK Unicompartmental Knee System - Femoral Component Precoat Left Medial/ Right Lateral Size A - CoCrMo + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-011-02,Physica ZUK Unicompartmental Knee System - Femoral Component Precoat Right Medial/ Left Lateral Size A - CoCrMo + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-012-01,Physica ZUK Unicompartmental Knee System - Femoral Component Precoat Left Medial/ Right Lateral Size B - CoCrMo + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-012-02,Physica ZUK Unicompartmental Knee System - Femoral Component Precoat Right Medial/ Left Lateral Size B - CoCrMo + PMMA,Limacorporate S.p.A.
